cyear,toronto_avg_temp,global_avg_temp
1750,6.29,8.72
1751,6.84,7.98
1752,-1.10,5.78
1753,5.76,8.39
1754,5.94,8.47
1755,2.81,8.36
1756,6.37,8.85
1757,5.13,9.02
1758,4.37,6.74
1759,5.27,7.99
1760,3.74,7.19
1761,6.25,8.77
1762,5.79,8.61
1763,3.32,7.50
1764,5.76,8.40
1765,5.14,8.25
1766,6.27,8.41
1767,4.74,8.22
1768,4.81,6.78
1769,5.44,7.69
1770,5.35,7.69
1771,6.23,7.85
1772,5.93,8.19
1773,6.22,8.22
1774,5.64,8.77
1775,6.64,9.18
1776,5.69,8.30
1777,5.23,8.26
1778,3.18,8.54
1779,6.10,8.98
1780,8.70,9.43
1781,5.96,8.10
1782,5.39,7.90
1783,5.11,7.68
1784,4.90,7.86
1785,4.83,7.36
1786,5.35,8.26
1787,5.37,8.03
1788,6.00,8.45
1789,5.70,8.33
1790,5.64,7.98
1791,5.72,8.23
1792,5.15,8.09
1793,6.02,8.23
1794,6.05,8.53
1795,5.60,8.35
1796,5.48,8.27
1797,5.21,8.51
1798,6.03,8.67
1799,5.62,8.51
1800,5.85,8.48
1801,6.23,8.59
1802,6.46,8.58
1803,6.23,8.50
1804,6.02,8.84
1805,6.49,8.56
1806,5.70,8.43
1807,5.49,8.28
1808,5.66,7.63
1809,4.90,7.08
1810,5.24,6.92
1811,5.38,6.86
1812,3.97,7.05
1813,5.31,7.74
1814,5.16,7.59
1815,4.52,7.24
1816,4.00,6.94
1817,4.12,6.98
1818,4.84,7.83
1819,5.07,7.37
1820,5.08,7.62
1821,4.88,8.09
1822,5.64,8.19
1823,4.86,7.72
1824,5.38,8.55
1825,6.46,8.39
1826,6.23,8.36
1827,6.03,8.81
1828,6.82,8.17
1829,5.46,7.94
1830,6.23,8.52
1831,4.96,7.64
1832,5.90,7.45
1833,5.88,8.01
1834,6.16,8.15
1835,5.11,7.39
1836,4.27,7.70
1837,4.89,7.38
1838,4.48,7.51
1839,5.62,7.63
1840,5.88,7.80
1841,5.33,7.69
1842,5.75,8.02
1843,4.81,8.17
1844,5.80,7.65
1845,5.81,7.85
1846,6.47,8.55
1847,5.11,8.09
1848,5.68,7.98
1849,5.18,7.98
1850,5.45,7.90
1851,5.45,8.18
1852,5.27,8.10
1853,5.70,8.04
